vague, 3
joystick, 3
outdated, 2
hostile, 2
regret, 2
distracted, 2
7th, 2
token, 2
nih, 2
speedrun, 2
fortnite, 2
architectural, 2
depressing, 2
on, 2
soooooooooooooooo, 2
kid, 2
mujhe, 2
aggravating, 2
stressed, 2
avaliable, 2
challanging, 2
skilled, 2
astronomical, 2
instrumental, 2
precious, 2
haptic, 2
fledged, 2
furious, 2
bold, 2
riddled, 2
ambitious, 2
asian, 2
s, 2
chief, 2
following, 2
scrolling, 2
12th, 2
sharp, 2
north, 2
funner, 2
subsequent, 2
nuts, 2
click, 2
oneplus, 2
faint, 2
pog, 2
janky, 2
inclusive, 2
questionable, 2
👄, 2
bitter, 2
repeatitive, 2
spiritual, 2
uncommon, 2
plz, 2
into, 2
platform, 2
loooong, 2
delicious, 2
personalizable, 2
comforting, 2
dramatic, 2
glichy, 2
greatful, 2
upside, 2
como, 2
devastating, 2
madness, 2
unaccessible, 2
rouge, 2
moderate, 2
interchangeable, 2
samsung, 2
speechless, 2
emergent, 2
meh, 2
made, 2
moto, 2
savegame, 2
ordinary, 2
octa, 2
fundamental, 2
binary, 2
tragic, 2
european, 2
helpfull, 2
ruthless, 2
thx, 2
fitting, 2
irritated, 2
lively, 2
lid, 2
mi, 2
jealous, 2
intial, 2
competent, 2
cheeky, 2
bt, 2
patched, 2
glorious, 2
shiny, 2
layout, 2
fi, 2
multiplayer, 2
customisable, 2
thankful, 2
used, 2
associated, 2
ingame, 2
crappie, 2
anoying, 2
playful, 2
invasive, 2
skippable, 2
esoteric, 2
dang, 2
ol, 2
fellow, 2
supreme, 2
spooky, 2
creep, 2
vds, 2
explanatory, 2
preset, 2
colourful, 2
purchasable, 2
disappointment, 2
shameful, 2
underpowered, 2
repetive, 2
colored, 2
attainable, 2
mana, 2
esque, 2
uncomfortable, 2
waifu, 2
passable, 2
dirty, 2
star, 2
fantesy, 2
overwhelmed, 2
psychological, 2
shady, 2
disgusted, 2
shabby, 2
readable, 2
cheep, 2
singular, 2
booba, 2
stingy, 2
rush, 2
wicked, 2
bagus, 2
game, 2
controllable, 2
elven, 2
mythical, 2
mesmerizing, 2
recognizable, 2
adaptive, 2
waaaaay, 2
gradual, 2
qol, 2
sufficient, 2
puzzling, 2
zen, 2
illogical, 2
ingenious, 2
improve, 2
mere, 2
bucharest, 2
gripping, 2
unsupported, 2
s8, 2
bothersome, 2
add, 2
defective, 2
phenominal, 2
crash, 2
upper, 2
engaged, 2
chilling, 2
remastered, 2
badass, 2
shoddy, 2
muddy, 2
unoptimised, 2
ported, 2
immediate, 2
cinematic, 2
suited, 2
thermal, 2
sizable, 2
serene, 2
pretentious, 2
abstract, 2
fenomenal, 2
enthralling, 2
purchaseable, 2
breathtaking, 2
mesmerising, 2
enyojable, 2
sole, 2
además, 2
ethereal, 2
standalone, 2
lacking, 2
surreal, 2
💥, 2
grat, 2
imposible, 2
inactive, 2
native, 2
fascinated, 2
disorienting, 2
speedy, 2
childish, 2
ther, 2
ungrateful, 2
splash, 2
craic, 2
realz, 2
retarded, 2
vary, 2
limitless, 2
above, 2
grammatical, 2
playthrough, 2
ironside, 2
dissapointed, 2
paid, 2
orginal, 2
unpleasant, 2
absent, 2
viable, 2
sour, 2
inital, 2
widescreen, 2
completable, 2
kongregate, 2
inferior, 2
aggresive, 2
latter, 2
trashy, 2
essential, 2
occassional, 2
salty, 2
consecutive, 2
restore, 2
susah, 2
repayable, 2
die, 2
simplified, 2
tech, 2
exp, 2
programmed, 2
nic, 2
bhi, 2
adventurous, 2
net, 2
🌹, 2
норм, 2
comedic, 2
easyi, 2
i'm, 2
oyun, 2
gross, 2
immune, 2
attentive, 2
pissed, 2
disabled, 2
mild, 2
fiddly, 2
incapable, 2
duo, 2
concrete, 2
sts, 2
overwrite, 2
spotty, 2
miserable, 2
unhappy, 2
run, 2
unreasonable, 2
accidental, 2
prompt, 2
draw, 2
fuzzy, 2
maximum, 2
confirm, 2
selectable, 2
enormous, 2
ummm, 2
🆗, 2
covid, 2
offset, 2
ini, 2
temporary, 2
unhelpful, 2
political, 2
cure, 2
cn, 2
focused, 2
coming, 2
outside, 2
tiring, 2
mmo, 2
eager, 2
thai, 2
👑, 2
excepcional, 2
impeccable, 2
veteran, 2
intended, 2
《, 2
futuristic, 2
exorbitant, 2
talented, 2
